After 3	Po 3
packs a punch	má ránu, udělit ránu	Have a powerful effect
abundant	bohaté, hojné, vydatné
ophthalmologist	oční lékař
thickness	tloušťka, hustota
reinforcing	zesilovací
components	složky
Nourished	vyživené
proven	prokázaná, osvědčený, ověřená
irritation	podráždění
reliable	spolehlivý
choice	volba
boasted	chlubila, chvástat se, honosit se
encouraged	přesvědčena, povzbudit
attribute	symbol, vlastnost, rys, znak
cumbersome	těžkopádné, neskladné
mascara	řasenka
aback	zaražen, zaskočen, překvapen
puny	drobné, malé
sparse	prořídlé
iris	duhovka
anti-inflammatory	protizánětlivé
rinse	opláchnout, vypláchnout
lukewarm	vlažná
soothing	uklidňující, utišující
discomfort	obtíže, nepříjemné pocity, nepohodlí
Terms & conditions	Všeobecné smluvní podmínky
Privacy policy	Ochrana osobních údajů
discreet	diskrétně
DISPATCH	ODESLÁNÍ
virtues	výhody, vlastnosti
vigorous	aktivní, energický, silný
coronary	srdeční
pal	kamarád
Enlist	Naverbujte
strain	vypětí, stres, zátěž
predictors	indikátor, ukazatel
no-no	nepřípustná věc
walnut	vlašský ořech
balsamic vinegar	balsamico
precursor	předchůdce, předzvěst
Almonds	Mandle
Hazelnuts	Lískové ořechy
Pecans	pekanový ořech
thiamin	thiamin
appreciable	patrný, znatelný
Asparagus	Chřest
apricots	meruňky
Hawthorn	Hloh
oatmeal	ovesná kaše
anthocyanins	antokyan	anthocyanins
sour cream	zakysaná smetana
substance	látka
inhibit	zpomalit, tlumit, bránit
peptide	peptid
apparent	patrných, zřejmých, zdánlivých
promising	slibné
adjunct	dodatek, doplněk, přídavek
imbibing	popíjet, nasávat, absorbovat
cabbage	zelí
fennel	fenykl
alter	pozměnit, upravit
Rocket	Hulevník
recapture	získat, znovuzískat
culprits	viník, pachatel
clog	ucpat
bloated	nafouklé, přecpané, oteklé
sodium	sodík
servings	porce
resveratrol	resveratrol
prowess	dovednost, zdatnost
geriatrics	geriatrie
neglected	opomíjené
gait	držení těla
kinesiologist	kineziolog
condiments	ochucovadla
comply	splnění, vyhovění
brisk	svižné, rázné,
cerebral	racionální, mozkový
peripheral	periferní, obvodový
serenity	klid
virtually	doslova, fakticky, prakticky
cellular	buněčné, buňky
excruciating	nesnesitelné, mučivé, týznivé
accompaniment	doprovod, doplněk
Yeast	kvasinky, kvasnice
dissolve	rozpustit
levels	hladina, úrovně
legumes	luštěniny
peas	hrách, hrášek
concoct	namíchat, vymyslet
soothes	zmírnit
unattainable	nedosažitelný
caveats	upozornění, varování
rectify	napravit
lycopene	lykopen
voltage	napětí
precipitation	srážky
succumbed	podlehnout
lascivious	chlípné	lascivious
Accommodates	ubytuje
ventricular	srdeční komora
debilitating	vysilující
anxiety	úzkost
despair	zoufalství
Refrain	vyhnout se 
skim	sbírat, odstředěné (mléko)	skim
antidote	protijed
avid	nadšený, náruživý
quack	šarlatánský, mastičkářský
relief	úleva
susceptible	náchylný
blisters	puchýř
subsided	ustupoval
Undeterred	Neodradit
disgruntled	rozdladěná
lesion	zranění, poškození
Chlamydia	chlamydie
Misconceptions	mylné představy
venereal	pohlavní
naturopathy	naturopatie
dispel	rozptýlit, rozehnat
allopathic	allopatie
Reticulate	retikulární
Epitelial	epitelová
fallopian	vejcovod
uterus	děloha
vacuole	vakuola
thrive	libuje si, žije si, daří se
Ovary	vaječník
Lysosome	lyzozom
Organelle	organela
Golgi apparatus	Golgiho aparát
Apoptotic	Apoptóza
constituents	složka
dilate	roztahovat, rozšiřovat
permeability	propustnost
refurbishing	renovuje
fibroblasts	fibroblast
invigorate	osvěžit, vzpružit, posílit
corpora cavernosa	Topořivé tělísko
maze	bludiště, změť, spleť
Carbon monoxide	oxid uhelnatý
clots	sraženina
Emphysema	Rozedma (plic)
Wheezing	Sípání
esophagus	jícen
willpower	vůle
ailment	neduh, nemoc
agitated	rozrušení, nervózní
waxy	voskovitá, vosková
bile	žluč
High-density lipoprotein	Vysokodenzitní lipoprotein
Assess	Zhodnotit, ohodnotit, ocenit
longevity	dlouhověkost
ferritin	ferritin
phlebotomy	flebotomie
debatable	diskutabilní
benefit	mít užitek, prospěch, výhodu
hypercholesterolemia	hypercholesterolémie
rapeseed	řepkové semeno
plethora	přemíra, nadbytek
Mercury	Rtuť
Aluminum	Hliník
Cadmium	kadmium
Arsenic	Arzén
Lead	Olovo
Nickel	Nikl
fire retardants	Zpomalovač hoření
Nausea	žaludeční nevolnost
pre-eclampsia	preeklampsie
gonorrhea	kapavka
alleviate	zmírnit
vertigo	závrať
soluble	rozpustné
imperative	nezbytně nutné, nezbytné, naléhavé
detrimental	škodlivé
craze	mánie, pobláznění,
Alas	želbohu, bohužel
dyslipidemia	dyslipidémie
Maillard reaction	maillardova reakce
acetaldehyde	acetaldehyd
intermediary	prostředník, zprostředkovatel
habituation	habituace
Ditto	Stejně tak
exorbitant	přehnaným,
fallacy	mylná představa
myelin sheath	myelinová pochva
prudent	prozíravé, rozumné
epithelium	epitelová tkáň
lodge	ubytují
compute	vypočítání
stearic acid	kyselina stearová
lard	sádlo
kernel	zrno, jádro
palmitic	palmitová	palmitic
myristic	myristová
lauric	laurová
caproic	kapronová
caprylic	kaprylová
angioplasty	angioplastika
hydrogenation	hydrogenace
claims	tvrzení
Fibrin	Fibrin
Incidentally	Mimochodem, abych nezapomněl	Incidentally
thwarted	překaženo, zmařeno
comprising	obsahující,
scavenger	mrchožrout, vybírač popelnic
whisk	rychle dopravit, hodit
scour	prohledat, pročesat, drhnout
Kale	kapusta
thyroid	štítná žláza
cod	treska
pterostilbene	pterostilben
ciprofibrate	ciprofibrát
lentils	čočka
trout	pstruh
herring	sleď
RDA	DDA	Doporučená denní dávka
RDA	DDD
scurvy	kurděje
minuscule	nepatrné, maličké
stave off	odvrátit, zabránit
parsley	petržel
cauliflower	květák
sprouts	kapusta
malaise	nevolnost
administering	podání
endothelial	endotel
tocopherol	tokoferol
phytosterols	fytosteroly
adiposity	adipozita
adiponectin	adiponektin	adiponectin
adipose tissue	tuková tkáň
bruising	podlitiny
Flaxseed	lněné semínko
lignans	lignan
lauded	vychvalován
burrow	díra, vrtat, zahrabat
pimple	pupínek
intriguing	fascinující, zajímavá
retina	sítnice
deposits	usazenina
spurs	pobídnout, přimět, uspíšit
clout	vliv, moc, váhu
Curcumin	kurkumin
Lipoic Acid	Kyselina lipoová
carrageenan	karagenan
Nephrology	nefrologie
glomerulonephritis	Glomerulonefritida
whistleblower	donašeč, informátor
belittled	snižovat, zlehčovat, shazovat, znevažovat
incidence	výskyt, četnost
deviations	odchylka
impediment	překážka
succinct	stručný
devour	spolknout, požírají
interleukins	interleukiny
Cachexia	Kachexia
smearing	mazání
Camphors	Kafr
Salicylates	Salicyláty
propensity	náchylnost, sklon
slathering	namazání
resins	pryskyřice
proliferation	šíření, rozmnožování
kinase	kináza
solvent	rozpuštědlo
constricting	omezením
Peptic ulcers	Žaludeční vředy
platelets	krevní destičky
hematopoietic	Hematopoetická 
instigators	iniciátor
malignant	zhoubných
assay	chemická analýza
havoc	chaos, zmatek
preservatives	konzervatny
Parabens	parabeny
petrolatum	vazelína
surefire	zaručený, tutový
mitigate	zmírnit, ztišit, ulehčit, zklidnit
ruse	lest, trik
scented	navoněné
surfactant	tenzid, surfaktant, saponát
sodium laurel sulfate	Laurethsulfát sodný
ammonia	čpavek, amoniak
cataracts	šedý zákal
corneal	rohovka
bleach	bělidlo
corrosive	žiravina, leptavá, korozní
fumes	výpardy, kouře
pancreatic	slinivka
Limonene	Limonen
sinus	dutina nosní
biodegradable	přirozeně se rozkládající
pollen	pyl
perchloroethylene	Tetrachlorethylen
perchloroethylene	perchlorethylen
volatile	nestálou
seldom	zřídka, málokdy
Rayon	umělé hedvábí
refrigerant	chladivo
mammary	prsou
multiple myeloma	mnohočetný myelom	multiple myeloma
non-Hodgkin lymphomas	non-Hodgkinův lymfom
thorough	pečlivá, důkladná
ulcer	vřed
convulsions	křeč
retinal	sítnice
aspartic acid	kyselina asparagová
phenylalanine	Fenylalanin
phenylketonuria	Fenylketonurie
plummeting	prudký pokles
serotonin	serotonin
formic acid	kyselina mravenčí
formaldehyde	formaldehyd
astute	prozíravým, chytrým, mazaným
Mousse	šlehaná pěna
colorectal	kolorektální
renal	ledvinový, renální
inseparable	neoddělitelné
irrefutable	nevyvratitelný, nezvratný
curbs	držet na uzdě
iodine	jód
startling	udivující, překvapivý
reap	sklízet, žnout
carotenoids	karotenoidy
vigilant	ostražití, bdělý, opatrní
Alpha-linolenic acid	kyselina alfa-linolenová
Docosahexaenoic acid	Kyselina dokosahexaenová
Eicosapentaenoic acid	Kyselina eikosapentaénová
pesky	otravný
subset	podmnožina
gamma linolenic acid	Kyselina gama-linolenová
primrose	petrklíč, prvosenka
accolades	uznání
motion sickness	nevolnost z cestování
apoptosis	apoptóza
autophagy	autofagie
Gingerol	gingerol
gland	žláza
squelching	čvachtání, mlaskání, učinit přítrž něčemu	squelching
boon	požehnáním, přínosem
arthritis	artritida
diverticulitis	Divertikulitida
gallbladder	žlučník
rampant	bující
cyclooxygenase	Cyklooxygenáza
5-lipoxygenase	5-lipoxygenáza
Osteoarthritis	Osteoartróza
fibromyalgia	fibromyalgie
aggregation	hromadění
distressing	znepokojivý
disagreeable	nepříjemné, protivné
Irritable Bowel Disease	Syndrom dráždivého tračníku
zesty	řízné, plné, výrazné
mold	plísně
mince	nasekat
julienne	nastrouhat
capsaicin	kapsaicin
disintegrate	rozpadá
dubious	pochybné, podezřelé
mitochondria	mitochondrie
intravenously	nitrožilně
psoriasis	psoriázu
alopecia	alopecie
isoflavone	izoflavony
deter	odradit, odstrašit
pests	škůdce
mucous	mukózní, slizový
mucous membranes	sliznice
bungled	zpackat, zfušovat
Selenium	selen
knee-jerk	bezmyšlenkovitý, reflexní
selenomethionine	selenomethionin
sodium selenite	seleničitan sodný
captivating	podmanivé, úchvatné, okouzlující	captivating
indifferent	lhostejný, netečný, nevšímavý
cunnilingus	cunnilingus
teems	hemžit, překypovat
tannins	taniny
gobs	chuchvalec, huba, kousek, hrudka
belching	krkat, říhnout
bouts	záchvat, nával
celiac disease	celiakie
intermittent	občasný, přerušovaný
run-of-the-mill	tuctový, obyčejný, průměrný
Emulsifier	emulgátor
Hydrolyzed	hydrolyzováno
starches	škrob
buckwheat	pohanka
millet	proso, bér vlašský
blood sugar	krevní cukr, glykemie
ominous	zlověstné, hrozivé
neutrophil	neutrofil
sucrose	sacharóza
molasses	melasa
Invert sugar	invertní cukr
galactose	galaktóza
beets	řepa
parsnips	pastinák
Date	datl
Rapadura	rapadura
sugarcane	cukrová třtina
maltose	maltóza
cane sugar	třtinový cukr
Turbinado	turbinado	název
residue	zbytek
Lupus	lupus
gripes	stížnosti
purportedly	údajně, prý
utensils	náčiní, nástroje, potřeby
abrasive	brusivo, brusné materiály, drsný, hrubý, neomalený
Cast Iron	litina
enamel	smalt
casserole	kastrol
skillet	pánev na smažení
lactic acid	kyselina mléčná
urea	močovina
impetigo	impetigo
hastens	urychlit
bentonite clay	bentonitový jíl
breakthrough	průlom
chasm	roklle, propast
subsidies	dotace, subvence
endometriosis	endometrióza
nitrite	dusitan
calcium carbonate	uhličitan vápenatý
sodium chloride	chlorid sodný
Glioblastoma	glioblastoma
oat bran	ovesné otruby
broth	vývar
thistle	bodlák
cruciferous	brukvovité
 inositol hexophosphate 	inositol hexafosfát
ubiquitous	všudypřítomný
bran	otruby
porridge	oves, vločková kaše
vitro	zkumavka
angiogenesis	angiogeneze
Rhabdomyosarcoma	Rabdomyosarkom
Multiple Sclerosis	Roztroušená skleróza
endometrial	děložní sliznice
heed	dbát
Shun	vyhnout se, vyhýbat se, stranit se
hippocampus	hipokampus
transient	pomíjivé
squash	tykev, dýně
viability	životaschopnost
Petri dish	Petriho miska
pancreas	slinivka
leeks	pórek
chives	pažitka
bone marrow	kostní dřeň
remission	polevení, zmírnění
arsenic trioxide	oxid arsenitý	arsenic trioxide
chelation	chelatace
scrutiny	zkoumání, pečlivý dohled
Titanium dioxide	Oxid titaničitý
Butylated hydroxytoluene	Butylhydroxytoluen
Gum base	gumová báze
plasticizers	plastifikátor
elastomers	elastomer
polyvinyl acetate	polyvinylacetát
talc	zásyp, pudr
ovarian	vaječník
wood alcohol	metanol
Acesulfame potassium	Acesulfam draselný
peptone	peptid
casein	kasein
slew	spousta, hromada
cartilage	chrupavka
cysteine	Cystein
achlorhydria	achlorhydrie
chicle	chicle, čikle
produce	zemědělská produkce, plodiny
intrinsically	vnitřně, svojí podstatou
Clostridium difficile	Clostridium difficile
confounded	zmateni
additives	aditiva, přísady
mucosa	sliznice
permeable	propustná
heme	hem
irrespective	bez ohledu
substantiated	doložit, dokázat
sucralose	sukralóza
saccharin	sacharin
thymus	brzlík
Chagas disease,	Chagasova choroba
chaga	čaga, rezavec šikmý
birch	bříza
inoculated	naočkovat
pantothenic acid	kyselina pantothenová
adrenal	nadledvina
 superoxide dismutase	superoxid dismutáza
singlet oxygen	singletový kyslík
betulinic acid	kyselina betulinová
spleen	slezina
deterioration	zhoršování
nitrosamines	nitrosaminy
debased	degradovaný
lustrous	lesklý, blýskavý
hyaluronic acid	kyselina hyaluronová
allantoin	allantoin
luminosity	svítivost, zdravý vzhled (pleti)
deuterium	deuterium
hydrogen	vodík
nucleus	jádro
tritium	tritium
abundance	hojnost, spousto, velké množství
parts per million	částic na jeden milion
polluted	znečištěný
viscous	viskózní, vazký
gametes	gameta, pohlavní buňka
zygotes	zygota
amphibians	obojživelník
delocalized	delokalizované
adjuvant	adjuvant
mulberry	moruš (strom)
gudmar	gymnéma
Cucurbitaceae	tykvovité
honey dew	medovice
glycosides	glykosidy
climber	horolezec, popínavá rostlina
opposite	vstřícné (listy)
tenacious	houževnatý, vytrvalý, nústupný, zakořeněný
fenugreek	pískavice řecké seno
sleek	elegantní, uhlazený
shelf	regál
satin	satén
smut	sprostáran, prasečinka
revered	ctěný, uctívaný, vážený
kinky	výstřednost, ujetost, perverznost
embarrassing	trapný, ostuda
squeamish	přecitlivělý, citlivý, choulostivý
scintillating	jiskrný
tone	odstín	pera
bullet nib	kulatá špička	http://www.faber-castell.cz/art-and-graphic/artist-products/pitt-artist-pens/Popisova%C4%8DPittArtistPen15bulletnib%C4%8Dern%C3%A1/167890
brush tip	štětičkový hrot	https://www.pastelka.eu/psaci-potreby/fixy/fixy-umelecke/faber-castell-pitt-artist-pen-sb-cerny.html?gclid=Cj0KCQjwqM3VBRCwARIsAKcekb3RWeYMFgDlAz9swLde0EjDuiZEby0FpVT5HFrOrUG7N2rF2C_qHK0aAmoXEALw_wcB
mindfulness	všímavost	Nejčastěji se v českých překladech objevují termíny všímavost, uvědomování, bdělost či bdělá pozornosti a plné vědomí.
Beats per minute	úderů za minutu	rychlost tepu
to prove an idea	prokázat životaschopnost nápadu
spintop	káča
watercolor	akvarela, vodové barvy
overcharging	přebíjení	baterie
packaging	balení
Seed	semínka
High	rauš
strain	odrůda
breeding	Pěstování, chov	rostlin, zvířat
MDF	Polotvrdá dřevovláknitá deska	medium-density fibreboard
micellar	micelární
laminaria	čepelatka
synephrine	synefrin
yohimbine	johimbin
baldrian	kozlík lékařský
chlorogenic acid	kyselina chlorogenová
worm castings	vermikompost
humic acid	huminová kyselina
Back squat	zadní dřep
Deadlift	mrtvý tah
Hamstring Curl	přitahování pat v leže
Leg Press	tlak nohama
Leg Extension	předkopávání
Weighted sit-ups	Sklapovačky se zátěž
Calf raises	výpony
arthrosis	artróza
osteochondrosis	osteochondróza
atherosclerotic	ateroskleróza
Battle	souboj
Keywords	klíčová slova
soul gem	krystal duší
Chest	truhla
higher arenas	vyšší arény
Royal Orb	Královský orb
Epic Orb	Epický orb
Ultimate Orb	ultimátní orb
Free Chest	magická truhla
gems	drahokamy
Arena	aréna
Enchanted Glade	Čarovný les
Magical Rock	magický krystal
Orc Camp	Orčí tábor
Lost City	Ztracené město
Foundry	Továrna
Mountain Peak	Dračí hora
Leader	vůdce
Elder	veterán
Join Request	Na přihlášku
Friendly Battle	Přátelský souboj
Novices	novic
Enchants	Očarování
Baby Wrap	Šátek na nošení dětí
preterm	předčasný porod
sling	šátek
organosilicon polymer	organokřemičitý polymer
hashrate	hashrate	Hashrate je měrná veličina výkonnosti v Bitcoin síti. Jednotkou je hash/s (hash za sekundu).
thrombi	trombóza
spider veins	pavoučkové névy
varicose veins	křečové žíly
sclerotherapy	Sklerotizace
radiofrequency occlusion	radiofrekvenční ablace
trophic ulcer	trofický vřed	jungle rot
cookies policy	zásady používání cookie
General Data Protection Regulation	Obecné nařízení o ochraně osobních údajů
European Economic Area	evropský hospodářský prostor
retention	uchovávání
URI	URI	Uniform Resource Identifier - jednotný identifikátor zdroje
Uniform Resource Identifier	jednotný identifikátor zdroje
Eucalyptus globulus	blahovičník kulatoplodý
valerian	kozlík	lékařský https://www.kouzlovuni.cz/kozlik-lekarsky-vselek-nejen-pro-kocky/
cat’s mint	šanta	kočičí
Delphinium	stračka
Allium	okrasný česnek
Gladiolus	mečík
edema	edém
Transparent Clock & Weather	Transparentní hodiny a počasí
dew point	rosný bod
opt-out of interest based ads	odhlášení ze zájmově orientovaných reklam
responsive interface	responzivní rozhraní
click paths	cesty prokliku
conversion rate	míra konverze
referrer	referer
dashboard	ovládací panel
INCLUDING BUT NOT LIMITED TO	ZAHRNUJÍCÍ KROMĚ JINÉHO
